u:, s:, b:, B:, a:, A:
49708240417, BTCUSDT, 59276.06000000, 2.84332000, 59276.07000000, 0.57226000
49708240423, BTCUSDT, 59276.06000000, 2.84372000, 59276.07000000, 0.57226000
49708240439, BTCUSDT, 59276.06000000, 2.84372000, 59276.07000000, 0.57187000
49708240442, BTCUSDT, 59276.06000000, 2.84393000, 59276.07000000, 0.57187000
49708240447, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.57187000
49708240455, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.44535000
49708240467, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.40708000
49708240468, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.38794000
49708240471, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.36880000
49708240477, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.36231000
49708240509, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.33331000
49708240510, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.19951000
49708240511, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.18001000
49708240515, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.17531000
49708240539, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.18001000
49708240540, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.17044000
49708240546, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.19944000
49708240547, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.33324000
49708240548, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.32854000
49708240550, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.19474000
49708240552, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.19944000
49708240553, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.33324000
49708240555, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.19944000
49708240561, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.33324000
49708240587, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.19944000
49708240588, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.19474000
